Agence de rattachement,Sexe ,Age,Situation Matrimoniale,Occupation/profession,Nombres de mois de cotisation,Nombres de plans cotisés,Nombre de plans cotisés à terme,Montant de l'épargne cotisé,Nombre de transactions enregistrées,Nombre de crédits demandés,Montant de crédits demandés,Secteur d'activité économique du crédit demandé,Sous Secteur d'activité économique du crédit demandé,Nombres de crédit octroyés,Cotisation au RPC,Cautionnement signé,Revenus du Garant
A238, F ,35.0, Marié ,Commerce,5,6,4,288000,81,1,480000.0, COMMERCE , Informel ,1,1.0, Oui ,165000.0
A344, F ,28.0, Marié ,Commerce,5,5,3,166000,45,1,260000.0, COMMERCE , Informel ,1,1.0, Oui ,50000.0
A297, F ,25.0, Inconnue ,Commerce,5,5,5,302000,86,1,500000.0, COMMERCE , Formel ,0,1.0, Oui ,250000.0
A308, F ,22.0, Marié ,Commerce,5,5,3,190500,67,1,350000.0, COMMERCE , Formel ,0,1.0, Non ,250000.0
A348, F ,62.0, Marié ,Commerce,5,11,7,368500,27,1,500000.0, COMMERCE , Informel ,1,0.9219478098788444, Oui ,200000.0
A320, F ,33.0, Marié ,Commerce,5,5,3,121000,31,1,300000.0, COMMERCE , Informel ,1,1.0, Oui ,85000.0
A319, F ,30.0, Marié ,Commerce,5,5,4,138000,60,1,250000.0, COMMERCE , Informel ,0,0.9219478098788444, Oui ,50000.0
A310, M ,24.0, Célibataire ,Tech_reparation,5,7,5,362000,89,1,350000.0, COMMERCE , Formel ,0,1.0, Oui ,120000.0
A232, M ,41.0, Marié ,Commerce,5,5,5,378000,84,1,500000.0, COMMERCE , Formel ,0,1.0, Oui ,650000.0
A315, M ,24.0, Marié ,Couture,4,4,3,137000,39,1,250000.0, COMMERCE , Formel ,0,1.0, Non ,0.0
A232, M ,54.0, Marié ,Commerce,5,5,4,216000,95,1,200000.0, COMMERCE , Formel ,0,1.0, Oui ,75000.0
A257, F ,43.0, Marié ,Commerce,5,9,0,1300000,115,1,1000000.0, COMMERCE , Informel ,0,1.0, Oui ,300000.0
A348, F ,44.0, Marié ,Commerce,5,5,4,147000,78,1,300000.0, COMMERCE , Informel ,1,1.0, Oui ,90000.0
A234, M ,25.0, Marié ,Commerce,5,5,5,148000,98,1,200000.0, COMMERCE , Informel ,1,1.0, Oui ,30000.0
A340, M ,30.0, Marié ,Commerce,5,6,4,290000,6,1,500000.0, COMMERCE , Informel ,1,0.9219478098788444, Oui ,150000.0
A344, F ,32.0, Marié ,Commerce,5,5,4,140000,11,2,390000.0, COMMERCE , Informel ,1,1.0, Non ,150000.0
A349, M ,36.0, Marié ,Commerce,5,5,3,137000,5,1,250000.0, COMMERCE , Informel ,1,1.0, Oui ,120000.0
A349, F ,33.0, Marié ,Commerce,5,5,3,208500,5,1,400000.0, COMMERCE , Informel ,1,1.0, Oui ,200000.0
A241, F ,31.0, Marié ,Commerce,5,6,5,71300,12,1,68000.0, COMMERCE , Informel ,0,1.0, Oui ,220000.0
A307, F ,39.0, Marié ,Commerce,6,6,4,152000,74,1,273000.0, COMMERCE , Formel ,1,1.0, Oui ,45000.0
A349, F ,31.0, Célibataire ,Commerce,5,5,5,76500,5,1,130000.0, COMMERCE , Informel ,1,1.0, Oui ,70000.0
A344, M ,55.0, Marié ,Transport,5,5,3,280000,10,1,500000.0, COMMERCE , Informel ,1,1.0, Oui ,180000.0
A340, F ,37.0, Marié ,Commerce,6,6,3,270000,9,1,500000.0, COMMERCE , Informel ,1,0.9219478098788444, Oui ,200000.0
A300, F ,21.0, Célibataire ,Commerce,6,11,9,290000,57,1,272000.0, COMMERCE , Informel ,0,1.0, Oui ,300000.0
A348, F ,28.0, Marié ,Commerce,6,7,4,140500,45,1,300000.0, COMMERCE , Informel ,1,1.0, Oui ,250000.0
A344, M ,45.0, Marié ,Commerce,5,6,4,720000,7,1,500000.0, COMMERCE , Informel ,1,1.0, Oui ,0.0
A319, M ,27.0, Marié ,Commerce,6,6,1,261000,59,1,350000.0, COMMERCE , Informel ,0,0.9219478098788444, Oui ,50000.0
A318, F ,30.0, Célibataire ,Commerce,5,5,4,125000,6,1,200000.0, COMMERCE , Informel ,0,1.0, Oui ,150000.0
A349, F ,38.0, Célibataire ,Commerce,5,5,5,74500,23,1,130000.0, COMMERCE , Informel ,1,1.0, Oui ,150000.0
A270, M ,30.0, Marié ,Commerce,6,6,0,765000,61,1,1000000.0, COMMERCE , Informel ,0,1.0, Oui ,200000.0
A346, F ,37.0, Marié ,Commerce,6,6,5,348000,45,1,500000.0, COMMERCE , Informel ,1,1.0, Oui ,0.0
A234, F ,25.0, Marié ,Commerce,6,7,4,82500,88,1,150000.0, COMMERCE , Informel ,0,1.0, Oui ,90000.0
A301, M ,34.0, Marié ,Commerce,6,6,6,885000,97,1,500000.0, COMMERCE , Formel ,0,1.0, Oui ,150000.0
A301, F ,26.0, Marié ,Commerce,6,11,7,584000,76,1,500000.0, COMMERCE , Formel ,0,1.0, Oui ,300000.0
A305, M ,33.0, Marié ,Commerce,6,6,5,178000,42,1,272000.0, COMMERCE , Informel ,1,1.0, Oui ,100000.0
A344, M ,26.0, Marié ,Commerce,6,8,2,112500,43,1,150000.0, COMMERCE , Informel ,1,1.0, Oui ,30000.0
A349, M ,33.0, Marié ,Tech_reparation,6,6,1,84000,30,1,250000.0, COMMERCE , Informel ,1,1.0, Oui ,150000.0
A349, F ,28.0, Marié ,Tech_reparation,6,6,4,159000,44,1,250000.0, COMMERCE , Informel ,1,1.0, Oui ,100000.0
A260, M ,54.0, Marié ,Commerce,6,7,4,287000,17,1,500000.0, COMMERCE , Informel ,1,1.0, Non ,100000.0
A315, F ,34.0, Inconnue ,Commerce,6,6,3,127000,29,1,300000.0, COMMERCE , Informel ,0,1.0, Non ,100000.0
A344, F ,44.0, Marié ,Commerce,6,6,3,73500,42,1,125000.0, COMMERCE , Informel ,1,1.0, Oui ,120000.0
A270, M ,57.0, Marié ,Commerce,6,7,5,167500,74,1,300000.0, COMMERCE , Formel ,0,1.0, Oui ,200000.0
A351, F ,48.0, Inconnue ,Commerce,6,6,4,139000,61,1,200000.0, COMMERCE , Informel ,0,1.0, Oui ,150000.0
A315, F ,34.0, Inconnue ,Commerce,6,6,2,298000,74,1,500000.0, COMMERCE , Informel ,0,1.0, Oui ,60000.0
A340, M ,38.0, Marié ,Administration,5,6,4,138000,17,1,260000.0, COMMERCE , Informel ,1,0.9219478098788444, Oui ,150000.0
A348, F ,43.0, Marié ,Commerce,6,7,4,332000,30,1,500000.0, COMMERCE , Informel ,1,0.9219478098788444, Oui ,100000.0
A234, M ,25.0, Célibataire ,Commerce,6,10,7,251000,28,1,500000.0, COMMERCE , Formel ,1,1.0, Oui ,0.0
A349, F ,35.0, Marié ,Commerce,5,6,1,134000,50,1,250000.0, COMMERCE , Informel ,1,1.0, Oui ,120000.0
A307, F ,31.0, Marié ,Commerce,6,6,5,322000,49,1,395000.0, COMMERCE , Formel ,1,1.0, Oui ,90000.0
A354, M ,61.0, Marié ,Tech_reparation,6,6,6,181000,82,1,260000.0, COMMERCE , Informel ,1,0.9219478098788444, Oui ,130000.0
A270, F ,38.0, Marié ,Commerce,6,6,4,815000,102,1,1000000.0, COMMERCE , Informel ,0,1.0, Oui ,100000000.0
A270, F ,39.0, Marié ,Commerce,6,6,1,395500,55,1,1000000.0, COMMERCE , Informel ,0,1.0, Oui ,300000.0
A244, M ,34.0, Marié ,Commerce,6,7,6,270000,69,1,260000.0, COMMERCE , Informel ,0,1.0, Oui ,100000.0
A303, M ,34.0, Marié ,Commerce,5,5,3,595000,53,1,500000.0, COMMERCE , Informel ,1,1.0, Oui ,200000.0
A353, F ,36.0, Marié ,Commerce,6,6,3,276000,91,1,500000.0, COMMERCE , Formel ,0,1.0, Non ,200000.0
A270, F ,53.0, Inconnue ,Commerce,6,9,4,145200,73,1,200000.0, COMMERCE , Informel ,0,1.0, Oui ,100000.0
A270, F ,48.0, Marié ,Administration,6,6,4,166000,98,1,300000.0, COMMERCE , Informel ,0,1.0, Oui ,100000000.0
A270, F ,30.0, Marié ,Commerce,6,7,6,167000,76,1,250000.0, COMMERCE , Informel ,0,1.0, Oui ,120000.0
A349, F ,36.0, Marié ,Commerce,5,5,5,310000,39,1,500000.0, COMMERCE , Informel ,1,1.0, Oui ,150000.0
A270, F ,46.0, Inconnue ,Commerce,6,6,6,182000,82,1,300000.0, COMMERCE , Informel ,0,1.0, Oui ,100000.0
A337, F ,41.0, Marié ,Commerce,6,7,0,360000,24,1,500000.0, COMMERCE , Informel ,1,1.0, Oui ,150000.0
A318, F ,47.0, Marié ,Restauration,6,6,5,1285000,103,1,1000000.0, COMMERCE , Informel ,0,1.0, Oui ,2500000.0
A349, F ,35.0, Marié ,Commerce,6,6,6,164500,94,1,250000.0, COMMERCE , Informel ,1,1.0, Oui ,150000.0
A351, M ,37.0, Marié ,Tech_reparation,6,7,5,87500,76,1,130000.0, COMMERCE , Formel ,0,1.0, Oui ,100000.0
A320, M ,31.0, Marié ,Commerce,6,6,5,304000,61,1,500000.0, COMMERCE , Formel ,1,1.0, Oui ,70000.0
A320, F ,24.0, Marié ,Commerce,6,6,3,278000,49,1,500000.0, COMMERCE , Formel ,1,1.0, Oui ,205000.0
A344, M ,39.0, Marié ,Transport,6,6,5,763000,16,1,500000.0, COMMERCE , Formel ,1,1.0, Oui ,90000.0
A270, F ,30.0, Marié ,Restauration,6,6,4,722000,95,1,1000000.0, COMMERCE , Informel ,0,1.0, Oui ,250000.0
A251, F ,25.0, Marié ,Commerce,6,8,8,242000,25,2,600000.0, COMMERCE , Informel ,1,1.0, Non ,250000.0
A301, M ,35.0, Marié ,Artisan,6,6,4,299000,38,1,500000.0, COMMERCE , Informel ,0,1.0, Oui ,200000.0
A348, F ,53.0, Marié ,Autres,6,10,5,447200,39,1,500000.0, COMMERCE , Informel ,1,0.9219478098788444, Oui ,150000.0
A260, M ,34.0, Marié ,Transport,6,6,6,362000,26,1,500000.0, COMMERCE , Informel ,1,1.0, Non ,150000.0
A270, F ,37.0, Marié ,Commerce,6,7,6,364000,51,1,500000.0, COMMERCE , Informel ,0,1.0, Oui ,600000.0
A244, F ,30.0, Marié ,Commerce,6,6,2,65000,42,1,90000.0, COMMERCE , Informel ,0,0.9219478098788444, Oui ,30000.0
A260, M ,22.0, Marié ,Commerce,5,5,3,234000,6,1,500000.0, COMMERCE , Informel ,1,1.0, Non ,200000.0
A318, M ,27.0, Marié ,Commerce,6,6,5,167000,99,1,250000.0, COMMERCE , Informel ,0,1.0, Oui ,200000.0
A318, F ,64.0, Veuf ,Commerce,6,6,6,186000,65,1,200000.0, COMMERCE , Informel ,0,1.0, Oui ,150000.0
A300, F ,30.0, Marié ,Commerce,6,6,5,516000,20,1,500000.0, COMMERCE , Informel ,0,1.0, Oui ,500000.0
A260, F ,24.0, Marié ,Commerce,6,6,6,238000,102,1,250000.0, COMMERCE , Informel ,1,1.0, Non ,500000.0
A324, M ,36.0, Marié ,Commerce,6,9,5,1052500,104,1,500000.0, COMMERCE , Informel ,0,1.0, Oui ,100000.0
A319, F ,51.0, Marié ,Commerce,6,6,4,101500,42,1,200000.0, COMMERCE , Informel ,0,0.9219478098788444, Oui ,50000.0
A230, F ,28.0, Marié ,Commerce,6,6,6,552000,76,1,500000.0, COMMERCE , Informel ,1,1.0, Oui ,150000.0
A234, M ,35.0, Marié ,Commerce,6,6,5,356000,90,1,270000.0, COMMERCE , Informel ,0,1.0, Oui ,60000.0
A234, F ,28.0, Marié ,Commerce,5,6,4,375000,37,1,500000.0, COMMERCE , Informel ,0,1.0, Oui ,0.0
A351, M ,33.0, Marié ,Tech_reparation,6,7,4,81500,44,1,130000.0, COMMERCE , Informel ,0,1.0, Oui ,150000.0
A346, F ,30.0, Marié ,Commerce,6,6,5,307500,98,1,600000.0, COMMERCE , Informel ,1,1.0, Oui ,0.0
A270, M ,29.0, Marié ,Commerce,6,12,2,316500,159,1,300000.0, COMMERCE , Informel ,0,1.0, Oui ,100000.0
A238, F ,42.0, Marié ,Commerce,6,6,4,803000,39,1,500000.0, COMMERCE , Informel ,0,1.0, Oui ,120000.0
A344, M ,31.0, Marié ,Commerce,6,6,3,327000,51,1,500000.0, COMMERCE , Formel ,1,1.0, Oui ,80000.0
A320, F ,48.0, Marié ,Restauration,6,6,5,300500,97,1,250000.0, COMMERCE , Formel ,1,1.0, Oui ,120000.0
A301, M ,28.0, Marié ,Commerce,6,6,6,352000,108,1,500000.0, COMMERCE , Informel ,0,1.0, Oui ,150000.0
A238, F ,32.0, Marié ,Commerce,6,6,5,174000,48,1,300000.0, COMMERCE , Informel ,1,1.0, Oui ,175000.0
A332, F ,23.0, Célibataire ,Commerce,6,6,3,142000,57,1,200000.0, COMMERCE , Formel ,0,1.0, Oui ,150000.0
